reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
e072af5f-9e09-4f00-bc23-15b058259282,Crys All,https://play-lh.googleusercontent.com/a-/ALV-UjWIEWdau8IVd5QHNdJUjta7sKyx7cSDwDwQO3FGNTLARhL5UBTZ,"Update aplikasi mulai dari versi ini,Klo search ke mana-mana tidak akurat. Saya coba search Keyword nya ""killbus"",malah Muncul barang yang tidak saya cari. Barang itu sebenarnya ada. Tapi tidak muncul. Dan itu satu-satunya. Sedangkan barang yang dicari sebenarnya ada. Apa gunanya pakai aplikasi tapi tidak akurat??? Tim developernya gimana nih? Tim Programmer kerja pas deadline yak? Padahal cuma copas-copas doang dari project sebelumnya/org, AI, web open source. Masih aja nub.",1,0,3.260.2,2024-04-28 14:57:48,"Halo Toppers, terima kasih atas rating yang kamu berikan. Kami akan terus melakukan perkembangan pada aplikasi Tokopedia untuk terus memberikan keamanan dan kenyamanan Toppers dalam bertransaksi.Silakan sampaikan kritik/saran atau kendala transaksi kamu dengan menghubungi Tokopedia Care melalui tkp.me/supportMainapps.",2024-04-28 15:00:02,3.260.2
f9395da8-68d1-4952-ac81-bbddef7e07a1,Eijaz Barra,https://play-lh.googleusercontent.com/a/ACg8ocK8IlR_IF237truWE7AYQiT-y-Sx9b2Mq_I8eqMM2NVCy9UwQ=mo,"Selalu dapet ekspedisi yg tidak recomended, dulu sering,e dpt ekspedisi ST juga lambat, eee ini ganti JE malah sama aja lebih parah, apalagi yg ekspedisi area solo tambah parah",3,0,3.260.2,2024-04-28 14:45:09,"Makasih atas ratingnya, Toppers. Jika kamu memiliki kritik/saran atau kendala transaksi, silakan hubungi Tokopedia Care melalui Di Mana Saya Dapat Menghubungi Tokopedia? | Tokopedia Care ya. Besar harapan kami, ke depannya Toppers bisa mendapat pengalaman bertransaksi yang lebih baik lagi di Tokopedia.",2024-04-28 15:00:04,3.260.2
397634a4-5d9a-4d22-b17d-21ac674117f9,Gina Mahbub,https://play-lh.googleusercontent.com/a/ACg8ocJNNpq44k5aZgENdefORuVE6uK1C8eVmgi_XwKSMl2FTxH9jrs=mo,"Dalam 1 bulan ini, ada 1 paket yg tidak sampai dan 1 paket telat serta reseller nya tidak sat set !!!",1,0,3.254.1,2024-04-28 14:38:40,"Hi Toppers, silakan sampaikan kritik/saran atau kendala transaksi kamu dengan menghubungi Tokopedia Care melalui Di Mana Saya Dapat Menghubungi Tokopedia? | Tokopedia Care agar bisa kami bantu cek lebih lanjut. Kami akan terus berupaya untuk meningkatkan pengalaman Toppers dalam bertransaksi di Tokopedia.",2024-04-28 14:40:05,3.254.1
51e6ff81-4bf4-4ffb-81ea-d576d3a3a047,Tommy Pratama,https://play-lh.googleusercontent.com/a-/ALV-UjXOAjGMlc5zSmU7HHScdMo9lO9vAGRfL-XFb8IR6r5fVoO2jVB3,good apk,5,0,3.260.2,2024-04-28 14:27:12,"Toppers, terima kasih atas rating yang kamu berikan serta kepercayaan kamu dalam memilih Tokopedia sebagai tempat berbelanja online. Jika kamu punya kritik/saran, atau ada kendala pada aplikasi Tokopedia, silakan info melalui Tokopedia Care",2024-04-28 14:40:03,3.260.2
d202e235-0b2a-42c0-8418-37302f80b4d9,Indra Sudrajat,https://play-lh.googleusercontent.com/a/ACg8ocJOufd9kCCrZiLnOJSG0gWQfH_KjahccRlBsdCOg4qQOEz8DQ=mo,Sangat membatu dalam pencarian kebutuhan yg diperlukan tanpa harus kita pergi ke toko Saat ini udh jauh lebih mudah lagi dalam mencari keperluan tanpa harus macet macetan pokonya ok,4,0,,2024-04-28 14:17:13,"Toppers, terima kasih atas rating yang kamu berikan serta kepercayaan kamu dalam memilih Tokopedia sebagai tempat berbelanja online. Jika kamu punya kritik/saran, atau ada kendala pada aplikasi Tokopedia, silakan info melalui Tokopedia Care",2024-04-28 14:20:03,
c5eda56e-4ddd-460a-8f8c-e93e19bb10ca,Luky Hermawan,https://play-lh.googleusercontent.com/a/ACg8ocJtwRkDeJI4hFeJ_MV5mdyDSqzllgJ96vspUkSgvLWouoKcGg=mo,mantaaapp,5,0,3.260.2,2024-04-28 14:00:18,"Hi Toppers, terima kasih untuk rating dan ulasan baiknya, ya! Kami akan terus meningkatkan performa aplikasi, fitur serta layanan agar bisa memberikan pengalaman bertransaksi terbaik bagi semua pengguna. Yuk tingkatkan terus transaksi kamu!",2024-04-28 14:20:05,3.260.2
779511df-7709-45cf-b327-ae1e54e6fda5,no ob,https://play-lh.googleusercontent.com/a/ACg8ocJn4FmDWSBbp_hFlH6WAaeyn3sQibhsEqbtzxC7nW-9EgtqJg=mo,Proses retur yang berbelit,1,0,3.260.2,2024-04-28 13:58:51,"Hi Toppers, silakan sampaikan kritik/saran atau kendala transaksi kamu dengan menghubungi Tokopedia Care melalui Di Mana Saya Dapat Menghubungi Tokopedia? | Tokopedia Care agar bisa kami bantu cek lebih lanjut. Kami akan terus berupaya untuk meningkatkan pengalaman Toppers dalam bertransaksi di Tokopedia.",2024-04-28 14:00:05,3.260.2
1ba297a2-03f4-4d81-8b2f-5156f38d7ece,Aldhi Satria,https://play-lh.googleusercontent.com/a-/ALV-UjVbsiABQGhYyp6dTPT0TD21NHFh2jncQIutDm3KQvSgLqVMft67,"JNE dan ID EXPRESS, ini kurir rekomendasi dari aplikasi ini dan mereka oper2an gitu pengirimannya, HATI-HATI , di aplikasi ini kalian nggak bisa ganti ekspedisi , paket saya 1 minggu lebih belum sampe , pake apk sebelah aja biar kalian jelas dapet RESInya karna cuma pake 1 ekspedisi sampe slesai, tau mau ke ekspedisi mana ketika buru2 ambil atau komplain, dan CS apk ini pake AUTO-REPLY percumah , nggak bakal nylesaiin cepet masalah di pesanan kalian , HATI-HATI 👌🏻",1,3,3.260.2,2024-04-28 13:56:47,"Halo Toppers, terima kasih atas rating yang kamu berikan. Kami akan terus melakukan perkembangan pada aplikasi Tokopedia untuk terus memberikan keamanan dan kenyamanan Toppers dalam bertransaksi.Silakan sampaikan kritik/saran atau kendala transaksi kamu dengan menghubungi Tokopedia Care melalui tkp.me/supportMainapps.",2024-04-28 14:00:07,3.260.2
10ee7d23-eef3-413b-ae7a-ef9a25d12c4c,Aurora Wedari,https://play-lh.googleusercontent.com/a/ACg8ocIVIi9SO5f3S3Mev-Yhd3xu2M-WOByn0DdTqs8mdNTbz5yr=mo,Bagus bangeet dan hargana murah lagi sampai adik ku beli barangg,5,0,,2024-04-28 13:46:17,"Toppers, terima kasih atas rating yang kamu berikan serta kepercayaan kamu dalam memilih Tokopedia sebagai tempat berbelanja online. Jika kamu punya kritik/saran, atau ada kendala pada aplikasi Tokopedia, silakan info melalui Tokopedia Care",2024-04-28 14:00:08,
69406ced-fd70-423f-a947-107bb8e62b63,galih audah Rahman,https://play-lh.googleusercontent.com/a-/ALV-UjXjqZ7FEds5boxMts_UCJXSA-EqMB6515CTItc8FGV3rMN-mDs,"Habis update terakhir fitur filternya di pencarian jadi ga beres, masa cari produk terbaru muncul nya produk yg lama",3,3,3.33,2024-04-28 13:28:07,"Makasih atas ratingnya, Toppers. Jika kamu memiliki kritik/saran atau kendala transaksi, silakan hubungi Tokopedia Care melalui Di Mana Saya Dapat Menghubungi Tokopedia? | Tokopedia Care ya. Besar harapan kami, ke depannya Toppers bisa mendapat pengalaman bertransaksi yang lebih baik lagi di Tokopedia.",2024-04-28 13:40:07,3.33
